trade_id,trade_date,season_phase,player,from_team,to_team,salary_est_musd,movement_type,salary_verified,official_source_url
T05,2026-02-03,2025-26 season,Dario Saric,CHI,DET,5.4,player,no (estimate — verify vs Spotrac),https://www.nba.com/news/2025-26-nba-trade-tracker
T05,2026-02-03,2025-26 season,Kevin Huerter,CHI,DET,18.0,player,no (estimate — verify vs Spotrac),https://www.nba.com/news/2025-26-nba-trade-tracker
T05,2026-02-03,2025-26 season,Jaden Ivey,DET,CHI,10.1,player,no (estimate — verify vs Spotrac),https://www.nba.com/news/2025-26-nba-trade-tracker
T05,2026-02-03,2025-26 season,Mike Conley,MIN,CHI,10.8,player,no (estimate — verify vs Spotrac),https://www.nba.com/news/2025-26-nba-trade-tracker
T06,2026-02-04,2025-26 season,Darius Garland,CLE,LAC,39.4,player,no (estimate — verify vs Spotrac),https://www.nba.com/news/2025-26-nba-trade-tracker
T06,2026-02-04,2025-26 season,James Harden,LAC,CLE,39.2,player,no (estimate — verify vs Spotrac),https://www.nba.com/news/2025-26-nba-trade-tracker
T07,2026-02-04,2025-26 season,Jared McCain,PHI,OKC,4.2,player,no (estimate — verify vs Spotrac),https://www.nba.com/news/2025-26-nba-trade-tracker
T08,2026-02-04,2025-26 season,Mason Plumlee,CHA,OKC,3.3,player,no (estimate — verify vs Spotrac),https://www.nba.com/news/2025-26-nba-trade-tracker
T08,2026-02-04,2025-26 season,Ousmane Dieng,OKC,CHA,7.7,player,no (estimate — verify vs Spotrac),https://www.nba.com/news/2025-26-nba-trade-tracker
T09,2026-02-04,2025-26 season,Tyus Jones,ORL,CHA,7.0,player,no (estimate — verify vs Spotrac),https://www.nba.com/news/2025-26-nba-trade-tracker
T10,2026-02-05,2025-26 season,Tyus Jones,CHA,DAL,7.0,player,no (estimate — verify vs Spotrac),https://www.nba.com/news/2025-26-nba-trade-tracker
T10,2026-02-05,2025-26 season,Anthony Davis,DAL,WAS,54.1,player,no (estimate — verify vs Spotrac),https://www.nba.com/news/2025-26-nba-trade-tracker
T10,2026-02-05,2025-26 season,D'Angelo Russell,DAL,WAS,13.0,player,no (estimate — verify vs Spotrac),https://www.nba.com/news/2025-26-nba-trade-tracker
T10,2026-02-05,2025-26 season,Dante Exum,DAL,WAS,3.4,player,no (estimate — verify vs Spotrac),https://www.nba.com/news/2025-26-nba-trade-tracker
T10,2026-02-05,2025-26 season,Jaden Hardy,DAL,WAS,5.5,player,no (estimate — verify vs Spotrac),https://www.nba.com/news/2025-26-nba-trade-tracker
T10,2026-02-05,2025-26 season,Malaki Branham,WAS,CHA,5.1,player,no (estimate — verify vs Spotrac),https://www.nba.com/news/2025-26-nba-trade-tracker
T10,2026-02-05,2025-26 season,AJ Johnson,WAS,DAL,3.0,player,no (estimate — verify vs Spotrac),https://www.nba.com/news/2025-26-nba-trade-tracker
T10,2026-02-05,2025-26 season,Khris Middleton,WAS,DAL,34.0,player,no (estimate — verify vs Spotrac),https://www.nba.com/news/2025-26-nba-trade-tracker
T10,2026-02-05,2025-26 season,Marvin Bagley III,WAS,DAL,6.0,player,no (estimate — verify vs Spotrac),https://www.nba.com/news/2025-26-nba-trade-tracker
T11,2026-02-05,2025-26 season,Kristaps Porzingis,ATL,GSW,30.7,player,no (estimate — verify vs Spotrac),https://www.nba.com/news/2025-26-nba-trade-tracker
T11,2026-02-05,2025-26 season,Buddy Hield,GSW,ATL,9.2,player,no (estimate — verify vs Spotrac),https://www.nba.com/news/2025-26-nba-trade-tracker
T11,2026-02-05,2025-26 season,Jonathan Kuminga,GSW,ATL,22.5,player,no (estimate — verify vs Spotrac),https://www.nba.com/news/2025-26-nba-trade-tracker
T12,2026-02-05,2025-26 season,Bennedict Mathurin,IND,LAC,9.4,player,no (estimate — verify vs Spotrac),https://www.nba.com/news/2025-26-nba-trade-tracker
T12,2026-02-05,2025-26 season,Isaiah Jackson,IND,LAC,7.0,player,no (estimate — verify vs Spotrac),https://www.nba.com/news/2025-26-nba-trade-tracker
T12,2026-02-05,2025-26 season,Ivica Zubac,LAC,IND,18.1,player,no (estimate — verify vs Spotrac),https://www.nba.com/news/2025-26-nba-trade-tracker
T12,2026-02-05,2025-26 season,Kobe Brown,LAC,IND,2.7,player,no (estimate — verify vs Spotrac),https://www.nba.com/news/2025-26-nba-trade-tracker
T13,2026-02-05,2025-26 season,Anfernee Simons,BOS,CHI,27.7,player,no (estimate — verify vs Spotrac),https://www.nba.com/news/2025-26-nba-trade-tracker
T13,2026-02-05,2025-26 season,Nikola Vucevic,CHI,BOS,21.5,player,no (estimate — verify vs Spotrac),https://www.nba.com/news/2025-26-nba-trade-tracker
T14,2026-02-05,2025-26 season,Ayo Dosunmu,CHI,MIN,8.0,player,no (estimate — verify vs Spotrac),https://www.nba.com/news/2025-26-nba-trade-tracker
T14,2026-02-05,2025-26 season,Julian Phillips,CHI,MIN,2.3,player,no (estimate — verify vs Spotrac),https://www.nba.com/news/2025-26-nba-trade-tracker
T14,2026-02-05,2025-26 season,Leonard Miller,MIN,CHI,2.3,player,no (estimate — verify vs Spotrac),https://www.nba.com/news/2025-26-nba-trade-tracker
T14,2026-02-05,2025-26 season,Rob Dillingham,MIN,CHI,6.6,player,no (estimate — verify vs Spotrac),https://www.nba.com/news/2025-26-nba-trade-tracker
T15,2026-02-05,2025-26 season,Ousmane Dieng,CHI,MIL,7.7,player,no (estimate — verify vs Spotrac),https://www.nba.com/news/2025-26-nba-trade-tracker
T15,2026-02-05,2025-26 season,Amir Coffey,MIL,PHX,3.9,player,no (estimate — verify vs Spotrac),https://www.nba.com/news/2025-26-nba-trade-tracker
T15,2026-02-05,2025-26 season,Cole Anthony,MIL,PHX,13.1,player,no (estimate — verify vs Spotrac),https://www.nba.com/news/2025-26-nba-trade-tracker
T15,2026-02-05,2025-26 season,Nick Richards,PHX,CHI,5.0,player,no (estimate — verify vs Spotrac),https://www.nba.com/news/2025-26-nba-trade-tracker
T15,2026-02-05,2025-26 season,Nigel Hayes-Davis,PHX,MIL,2.0,player,no (estimate — verify vs Spotrac),https://www.nba.com/news/2025-26-nba-trade-tracker
T16,2026-02-05,2025-26 season,Collin Sexton,CHA,CHI,19.0,player,no (estimate — verify vs Spotrac),https://www.nba.com/news/2025-26-nba-trade-tracker
T16,2026-02-05,2025-26 season,Ousmane Dieng,CHA,CHI,7.7,player,no (estimate — verify vs Spotrac),https://www.nba.com/news/2025-26-nba-trade-tracker
T16,2026-02-05,2025-26 season,Coby White,CHI,CHA,12.9,player,no (estimate — verify vs Spotrac),https://www.nba.com/news/2025-26-nba-trade-tracker
T16,2026-02-05,2025-26 season,Mike Conley,CHI,CHA,10.8,player,no (estimate — verify vs Spotrac),https://www.nba.com/news/2025-26-nba-trade-tracker
T17,2026-02-05,2025-26 season,Jose Alvarado,NOP,NYK,4.8,player,no (estimate — verify vs Spotrac),https://www.nba.com/news/2025-26-nba-trade-tracker
T17,2026-02-05,2025-26 season,Dalen Terry,NYK,NOP,5.4,player,no (estimate — verify vs Spotrac),https://www.nba.com/news/2025-26-nba-trade-tracker
T18,2026-02-05,2025-26 season,Dalen Terry,CHI,NYK,5.4,player,no (estimate — verify vs Spotrac),https://www.nba.com/news/2025-26-nba-trade-tracker
T18,2026-02-05,2025-26 season,Guerschon Yabusele,NYK,CHI,5.9,player,no (estimate — verify vs Spotrac),https://www.nba.com/news/2025-26-nba-trade-tracker
T19,2026-02-05,2025-26 season,Trayce Jackson-Davis,GSW,TOR,2.2,player,no (estimate — verify vs Spotrac),https://www.nba.com/news/2025-26-nba-trade-tracker
T20,2026-02-05,2025-26 season,Luke Kennard,ATL,LAL,11.0,player,no (estimate — verify vs Spotrac),https://www.nba.com/news/2025-26-nba-trade-tracker
T20,2026-02-05,2025-26 season,Gabe Vincent,LAL,ATL,11.5,player,no (estimate — verify vs Spotrac),https://www.nba.com/news/2025-26-nba-trade-tracker
T21,2026-02-05,2025-26 season,Vanja Marinkovic (draft rights),BKN,LAC,0.0,draft_rights,no (estimate — verify vs Spotrac),https://www.nba.com/news/2025-26-nba-trade-tracker
T21,2026-02-05,2025-26 season,Chris Paul,LAC,TOR,3.6,player,no (estimate — verify vs Spotrac),https://www.nba.com/news/2025-26-nba-trade-tracker
T21,2026-02-05,2025-26 season,Ochai Agbaji,TOR,BKN,6.3,player,no (estimate — verify vs Spotrac),https://www.nba.com/news/2025-26-nba-trade-tracker
T22,2026-02-05,2025-26 season,Lonzo Ball,CLE,UTA,10.0,player,no (estimate — verify vs Spotrac),https://www.nba.com/news/2025-26-nba-trade-tracker
T22,2026-02-05,2025-26 season,Jock Landale,UTA,ATL,8.0,player,no (estimate — verify vs Spotrac),https://www.nba.com/news/2025-26-nba-trade-tracker
T23,2026-02-05,2025-26 season,Xavier Tillman Sr.,BOS,CHA,2.5,player,no (estimate — verify vs Spotrac),https://www.nba.com/news/2025-26-nba-trade-tracker
T24,2026-02-05,2025-26 season,Josh Minott,BOS,BKN,2.5,player,no (estimate — verify vs Spotrac),https://www.nba.com/news/2025-26-nba-trade-tracker
T25,2026-02-05,2025-26 season,Hunter Tyson,DEN,BKN,2.4,player,no (estimate — verify vs Spotrac),https://www.nba.com/news/2025-26-nba-trade-tracker
T26,2026-02-05,2025-26 season,Eric Gordon,PHI,MEM,3.5,player,no (estimate — verify vs Spotrac),https://www.nba.com/news/2025-26-nba-trade-tracker
T28,2026-06-29,2026 offseason,Ja Morant,MEM,POR,42.2,player,public contract report — rounded to $0.1M,https://www.nba.com/news/2026-offseason-trade-tracker
T28,2026-06-29,2026 offseason,Jerami Grant,POR,MEM,34.0,player,public contract schedule estimate — rounded to $0.1M,https://www.nba.com/news/2026-offseason-trade-tracker
T28,2026-06-29,2026 offseason,Kris Murray,POR,MEM,5.3,player,public contract or rookie-scale estimate — rounded to $0.1M,https://www.nba.com/news/2026-offseason-trade-tracker
T29,2026-06-30,2026 offseason,Devin Carter,SAC,ATL,5.2,player,public contract report — rounded to $0.1M,https://www.nba.com/news/2026-offseason-trade-tracker
T30,2026-07-06,2026 offseason,Aaron Wiggins,OKC,ATL,9.0,player,public contract report — rounded to $0.1M,https://www.nba.com/news/2026-offseason-trade-tracker
T31,2026-07-06,2026 offseason,Jaime Jaquez Jr.,MIA,MIL,5.9,player,public contract average estimate — rounded to $0.1M,https://www.nba.com/news/2026-offseason-trade-tracker
T31,2026-07-06,2026 offseason,Kasparas Jakucionis,MIA,MIL,4.4,player,public contract average estimate — rounded to $0.1M,https://www.nba.com/news/2026-offseason-trade-tracker
T31,2026-07-06,2026 offseason,Kel'el Ware,MIA,MIL,4.9,player,public contract or rookie-scale estimate — rounded to $0.1M,https://www.nba.com/news/2026-offseason-trade-tracker
T31,2026-07-06,2026 offseason,Tyler Herro,MIA,MIL,33.0,player,public contract schedule estimate — rounded to $0.1M,https://www.nba.com/news/2026-offseason-trade-tracker
T31,2026-07-06,2026 offseason,Bobby Portis,MIL,MIA,14.7,player,public contract average estimate — rounded to $0.1M,https://www.nba.com/news/2026-offseason-trade-tracker
T31,2026-07-06,2026 offseason,Giannis Antetokounmpo,MIL,MIA,58.5,player,public contract report — rounded to $0.1M,https://www.nba.com/news/2026-offseason-trade-tracker
T32,2026-07-06,2026 offseason,Jaylen Brown,BOS,PHI,57.1,player,public contract schedule estimate — rounded to $0.1M,https://www.nba.com/news/2026-offseason-trade-tracker
T32,2026-07-06,2026 offseason,Paul George,PHI,BOS,54.1,player,public contract schedule estimate — rounded to $0.1M,https://www.nba.com/news/2026-offseason-trade-tracker
T33,2026-07-06,2026 offseason,Isaiah Joe,OKC,DET,12.0,player,public contract average estimate — rounded to $0.1M,https://www.nba.com/news/2026-offseason-trade-tracker
T34,2026-07-06,2026 offseason,Dorian Finney-Smith,HOU,CHA,13.3,player,public contract average estimate — rounded to $0.1M,https://www.nba.com/news/2026-offseason-trade-tracker
T27,2026-07-07,2026 offseason,Deandre Ayton,LAL,WAS,8.1,player,no (estimate — verify vs Spotrac),https://www.nba.com/news/2026-offseason-trade-tracker
T27,2026-07-07,2026 offseason,Jaden Hardy,WAS,LAL,5.5,player,no (estimate — verify vs Spotrac),https://www.nba.com/news/2026-offseason-trade-tracker
T35,2026-07-08,2026 offseason,Walker Kessler,UTA,LAL,32.5,player,public contract or rookie-scale estimate — rounded to $0.1M,https://www.nba.com/news/2026-offseason-trade-tracker
T36,2026-07-08,2026 offseason,AJ Johnson,DAL,MEM,3.2,player,public contract report — rounded to $0.1M,https://www.nba.com/news/2026-offseason-trade-tracker
T36,2026-07-08,2026 offseason,Khris Middleton,DAL,WAS,5.9,player,public contract average estimate — rounded to $0.1M,https://www.nba.com/news/2026-offseason-trade-tracker
T36,2026-07-08,2026 offseason,Marcus Sasser,DET,DAL,5.3,player,public contract or rookie-scale estimate — rounded to $0.1M,https://www.nba.com/news/2026-offseason-trade-tracker
T36,2026-07-08,2026 offseason,Isaiah Stewart,DET,MEM,15.0,player,public contract schedule estimate — rounded to $0.1M,https://www.nba.com/news/2026-offseason-trade-tracker
T36,2026-07-08,2026 offseason,Caris LeVert,DET,MIL,14.8,player,public contract report — rounded to $0.1M,https://www.nba.com/news/2026-offseason-trade-tracker
T36,2026-07-08,2026 offseason,John Collins,LAC,DET,17.0,player,public contract average estimate — rounded to $0.1M,https://www.nba.com/news/2026-offseason-trade-tracker
T36,2026-07-08,2026 offseason,Santi Aldama,MEM,DAL,17.5,player,public contract or rookie-scale estimate — rounded to $0.1M,https://www.nba.com/news/2026-offseason-trade-tracker
T36,2026-07-08,2026 offseason,Gary Harris,MIL,DET,3.8,player,public contract report — rounded to $0.1M,https://www.nba.com/news/2026-offseason-trade-tracker
T36,2026-07-08,2026 offseason,Taurean Prince,MIL,DET,3.6,player,public contract average estimate — rounded to $0.1M,https://www.nba.com/news/2026-offseason-trade-tracker
T36,2026-07-08,2026 offseason,D'Angelo Russell,WAS,MEM,6.0,player,public contract report — rounded to $0.1M,https://www.nba.com/news/2026-offseason-trade-tracker
T37,2026-07-10,2026 offseason,Nic Claxton,BKN,CHI,23.3,player,public contract or rookie-scale estimate — rounded to $0.1M,https://www.nba.com/news/2026-offseason-trade-tracker
T37,2026-07-10,2026 offseason,Josh Green,CHA,MIN,14.7,player,public contract schedule estimate — rounded to $0.1M,https://www.nba.com/news/2026-offseason-trade-tracker
T37,2026-07-10,2026 offseason,LaMelo Ball,CHA,MIN,40.7,player,public contract schedule estimate — rounded to $0.1M,https://www.nba.com/news/2026-offseason-trade-tracker
T37,2026-07-10,2026 offseason,Mo Gueye,CHI,CHA,2.3,player,public contract or rookie-scale estimate — rounded to $0.1M,https://www.nba.com/news/2026-offseason-trade-tracker
T37,2026-07-10,2026 offseason,Julius Randle,MIN,BKN,33.3,player,public contract schedule estimate — rounded to $0.1M,https://www.nba.com/news/2026-offseason-trade-tracker
T37,2026-07-10,2026 offseason,Naz Reid,MIN,CHA,25.0,player,public contract or rookie-scale estimate — rounded to $0.1M,https://www.nba.com/news/2026-offseason-trade-tracker
